Character,how often
DEAGOL,3
SMEAGOL,49
(GOLLUM,1
FRODO,229
MERRY,143
GIMLI,116
GOLLUM,134
SAM,218
GANDALF,214
ARAGORN,187
PIPPIN,168
HOBBIT,7
ROSIE,2
BILBO,48
TREEBEARD,46
SARUMAN,41
THEODEN,110
GALADRIL,1
ELROND,31
GRIMA,25
FRODO VOICE OVER,2
WITCH KING,8
EOWYN,57
FARAMIR,65
ORC,25
SOLDIERS ON GATE,1
GOTHMOG,14
GENERAL,3
CAPTAIN,2
SOLDIER,41
MOUTH OF SAURON,5
EOMER,36
ARMY,2
BOSON,1
MERCENARY,1
EOWYN/MERRY,1
DENETHOR,45
ROHIRRIM,2
GALADRIEL VOICEOVER,1
LEGOLAS,55
GALADRIEL,18
KING OF THE DEAD,8
GRIMBOLD,1
IROLAS,3
ORCS,3
GAMLING,15
MADRIL,7
DAMROD,2
SOLDIERS,3
SOLDIERS IN MINAS TIRITH,1
GANDALF VOICEOVER,4
SOLDIER 1,1
SOLDIER 2,1
WOMAN,3
HALDIR,7
SAM VOICEOVER,1
OLD MAN,1
BOROMIR,41
CROWD,3
ARWEN,40
ELROND VOICEOVER,2
ARWEN VOICEOVER,1
ARAGORN ,187
HAMA,6
SHARKU,1
PEOPLE,2
LADY,1
FREDA,3
MORWEN,5
EYE OF SAURON,1
ROHAN STABLEMAN,1
GORBAG,3
ARGORN,2
GANDALF VOICE OVER,5
BOROMIR ,41
UGLUK,9
SHAGRAT,9
SARUMAN VOICE OVER,5
SARUMAN VOICE OVER ,5
FRODO ,229
URUK-HAI,1
SNAGA,2
GRISHNAKH,4
MERRY and PIPPIN,5
WILDMAN,3
STRIDER,25
GALADRIEL VOICE-OVER,2
EOTHAIN,1
ROHAN HORSEMAN,2
SAURON VOICE,2
SAM ,218
FRODO VOICE,3
GALADRIEL VOICE OVER,12
FARMER MAGGOT,1
WHITE WIZARD,1
MERRY AND PIPPIN,5
GAFFER,3
NOAKES,1
SANDYMAN,2
FIGWIT,1
GENERAL SHOUT,1
GRISHNAK,5
URUK HAI,5
SARUMAN VOICEOVER,3
MRS BRACEGIRDLE,1
BILBO VOICEOVER,2
PROUDFOOT HOBBIT,1
GATEKEEPER,2
GATEKEEPR,1
MAN,58
CHILDREN HOBBITS,3
BARLIMAN,4
RING,1
MEN,1
VOICE,45
SAURON,9
GAN DALF,1
